name,city,province
"""A"" Frame Brewing Co.",Squamish,British Columbia
20 Valley Brewery,St. Catherines,Ontario
33 Acres Brewing Co.,Vancouver,British Columbia
5 Paddles Brewing Co.,Whitby,Ontario
9 Mile Legacy Brewing Company,Saskatoon,Saskatchewan
Abe Erb Brewery & Restaurant,Waterloo,Ontario
Agassiz Brewing,Winnipeg,Manitoba
Agassiz Brewing,defunct,Manitoba
Albion,Joliette,Quebec
Alexander Keith's Brewery,Halifax,Nova Scotia
All or Nothing Brewhouse,Oshawa,Ontario
Alley Kat Brewing Company,Edmonton,Alberta
Amber Brewery,Markham,Ontario
Amber's Brewing Company,Edmonton,Alberta
Amsterdam Brewhouse,Toronto,Ontario
Amsterdam Brewing Co.,Toronto,Ontario
Arch Brewing Co.,Newmarket,Ontario
Archibald,Lac Beauport,Quebec
Archibald,Sainte-Foy,Quebec
Arrowhead Brewing Co.,Invermere,British Columbia
Ashton Brewing Co.,Beckwith,Ontario
Atlantic Brewery,Stephenville,Newfoundland & Labrador
Auval,Val d'Espoir,Quebec
Aux Fous Brassant,Rivière-du-Loup,Quebec
Axe and Barrel Brewing Co.,Victoria,British Columbia
BNA Brewing Co.,Kelowna,British Columbia
Bad Apple Brewhouse,Somerset,Nova Scotia
Bad Tattoo Brewing,Penticton,British Columbia
Bamboo Beer Co.,Stoney Creek,Ontario
Bancroft Brewing Co.,Bancroft,Ontario
Banded Goose Brewing Co.,Kingsville,Ontario
Banded Peak Brewing Company,Calgary,Alberta
Banff Ave. Brewing Co.,Banff,Alberta
Bar Centre Ale Artisan Brasseur,Drummondville,Quebec
Barkerville Brewing Co.,Quesnel,British Columbia
Barley Days Brewery,Picton,Ontario
Barn Door Beverage Co.,Uxbridge,Ontario
Barn Hammer Brewing,Winnipeg,Manitoba
Barnone Brewery,Rose Valley,Prince Edward Island
Barnstormer Brewing Co.,Barrie,Ontario
Bavarian Brewing Company Limited,St. John's,Newfoundland & Labrador
Bayside Brewing Co.,Erieau,Ontario
Beach Fire Brewing,Campbell River,British Columbia
Beau's All Natural Brewing Co.,Vankleek Hill,Ontario
Beer Lab London,London,Ontario
Belgh Brasse,Amos,Quebec
Bell City Brewing Co.,Brantford,Ontario
Bellwoods Brewery,Toronto,Ontario
Bent Stick Brewing Co.,Edmonton,Alberta
Bentley Brewers,Ottawa,Ontario
Beyond the Pale Brewing Co.,Ottawa,Ontario
Bicycle Craft Brewery,Ottawa,Ontario
Bierbrier Brewing Inc.,Toronto,Ontario
Big Axe Brewery,Nackawic,New Brunswick
Big Ridge Brewing Co.,Surrey,British Columbia
Big Rig Brewery & Kitchen,Ottawa,Ontario
Big Rig Brewery & Taproom,Kanata,Ontario
Big Rock Brewery,Calgary,Alberta
Big Rock Urban Brewery,Vancouver,British Columbia
Big Spruce Brewing,Nyanza,Nova Scotia
Big Surf Brew Co.,Kelowna,British Columbia
Bison Brewing Company,Stephenville,Newfoundland & Labrador
Black Bridge Brewery,Swift Current,Saskatchewan
Black Creek Historic Brewery,Toronto,Ontario
Black Donnellys Brewing Co.,Mitchell,Ontario
Black Kettle Brewing Co.,North Vancouver,British Columbia
Black Loon Brewing,Delta,British Columbia
Black Oak Brewing Co.,Etobicoke,Ontario
Black Swan Brewing Co.,Stratford,Ontario
Blindman Brewing,Lacombe,Alberta
Block Three Brewing Co.,St. Jacobs,Ontario
Blood Brothers Brewing,Toronto,Ontario
Blue Elephant Craft Brew House,Simcoe,Ontario
Bobcaygeon Brewing Co.,Bobcaygeon,Ontario
Boiling Oar Brewing Company,Calgary,Alberta
Bomb Brewing Co.,Hamilton,Ontario
Bomber Brewing,Vancouver,British Columbia
Bone Brewing Co.,Kelowna,British Columbia
Bootleg Brew Company,Corner Brook,Newfoundland & Labrador
Boquébière - microbrasserie de Sherbrooke,Sherbrooke,Quebec
Boshkung Brewing Co.,Minden,Ontario
Boundary Brewing Co.,Kelowna,British Columbia
Bowen Island Brewing Co.,Vancouver,British Columbia
Boxing Rock Brewing Company,Shelburne,Nova Scotia
Bragg Creek Brewing Company,Bragg Creek,Alberta
Brasserie Dieu du ciel!,Saint-Jérôme,Quebec
Brasserie Dunham,Dunham,Quebec
Brasserie McAuslan,Montréal,Quebec
Brasserie Saint-Antoine-Abbée,Franklin,Quebec
