rank,name,brewery,style,abv,score,ratings,city,province
1,Péché Mortel,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.5,4.39,5087,Saint-Jérôme,Quebec
2,Péché Mortel En Fût De Bourbon Américain,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.5,4.45,488,Saint-Jérôme,Quebec
3,La Fin Du Monde,Unibroue,Tripel,9.0,4.31,10021,Chambly,Quebec
4,Unibroue 17 Grande Réserve,Unibroue,Belgian Strong Dark Ale,10.0,4.24,1140,Chambly,Quebec
5,Fat Tug IPA,Driftwood Brewery,American IPA,7.0,4.25,601,Victoria,British Columbia
6,Red Racer IPA (India Pale Ale),Central City Brewers + Distillers,American IPA,6.5,4.23,1085,Surrey,British Columbia
7,Nectarous,Four Winds Brewing Co.,American Wild Ale,5.5,4.48,92,Delta,British Columbia
8,Trois Pistoles,Unibroue,Belgian Strong Dark Ale,9.0,4.2,4938,Chambly,Quebec
9,Grande Cuvée Porter Baltique,Les Trois Mousquetaires,Baltic Porter,10.0,4.25,451,Brossard,Quebec
10,Solstice D'été Aux Framboises,Brasserie Dieu du Ciel!,Berliner Weissbier,5.9,4.26,350,Saint-Jérôme,Quebec
11,Moralité,Brasserie Dieu du Ciel!,American IPA,6.9,4.26,328,Saint-Jérôme,Quebec
12,Aphrodisiaque,Brasserie Dieu du Ciel!,American Stout,6.5,4.19,1651,Saint-Jérôme,Quebec
13,Maudite,Unibroue,Belgian Strong Dark Ale,8.0,4.17,4573,Chambly,Quebec
14,Dominus Vobiscum Lupulus,Microbrasserie Charlevoix,Belgian IPA,10.0,4.24,274,Baie-Saint-Paul,Quebec
15,La Terrible,Unibroue,Belgian Strong Dark Ale,10.5,4.16,2216,Chambly,Quebec
16,Sartori Harvest IPA,Driftwood Brewery,American IPA,7.0,4.36,107,Victoria,British Columbia
17,Bring Out Your Dead,Bellwoods Brewery,Russian Imperial Stout,12.2,4.34,117,Toronto,Ontario
