rank,name,brewery,style,abv,score,ratings,city,province,family
1,Péché Mortel,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.5,4.39,5087,Saint-Jérôme,Quebec,porter/stout
2,Péché Mortel En Fût De Bourbon Américain,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.5,4.45,488,Saint-Jérôme,Quebec,porter/stout
3,La Fin Du Monde,Unibroue,Tripel,9.0,4.31,10021,Chambly,Quebec,tripel
4,Unibroue 17 Grande Réserve,Unibroue,Belgian Strong Dark Ale,10.0,4.24,1140,Chambly,Quebec,belgian dark ales
5,Fat Tug IPA,Driftwood Brewery,American IPA,7.0,4.25,601,Victoria,British Columbia,IPA
6,Red Racer IPA (India Pale Ale),Central City Brewers + Distillers,American IPA,6.5,4.23,1085,Surrey,British Columbia,IPA
7,Nectarous,Four Winds Brewing Co.,American Wild Ale,5.5,4.48,92,Delta,British Columbia,other
8,Trois Pistoles,Unibroue,Belgian Strong Dark Ale,9.0,4.2,4938,Chambly,Quebec,belgian dark ales
9,Grande Cuvée Porter Baltique,Les Trois Mousquetaires,Baltic Porter,10.0,4.25,451,Brossard,Quebec,porter/stout
10,Solstice D'été Aux Framboises,Brasserie Dieu du Ciel!,Berliner Weissbier,5.9,4.26,350,Saint-Jérôme,Quebec,other
11,Moralité,Brasserie Dieu du Ciel!,American IPA,6.9,4.26,328,Saint-Jérôme,Quebec,IPA
12,Aphrodisiaque,Brasserie Dieu du Ciel!,American Stout,6.5,4.19,1651,Saint-Jérôme,Quebec,porter/stout
13,Maudite,Unibroue,Belgian Strong Dark Ale,8.0,4.17,4573,Chambly,Quebec,belgian dark ales
14,Dominus Vobiscum Lupulus,Microbrasserie Charlevoix,Belgian IPA,10.0,4.24,274,Baie-Saint-Paul,Quebec,IPA
15,La Terrible,Unibroue,Belgian Strong Dark Ale,10.5,4.16,2216,Chambly,Quebec,belgian dark ales
16,Sartori Harvest IPA,Driftwood Brewery,American IPA,7.0,4.36,107,Victoria,British Columbia,IPA
17,Bring Out Your Dead,Bellwoods Brewery,Russian Imperial Stout,12.2,4.34,117,Toronto,Ontario,porter/stout
18,St-Ambroise Stout Impériale Russe,McAuslan Brewing,Russian Imperial Stout,9.1,4.21,307,Montréal,Quebec,porter/stout
19,Great Lakes Thrust! An IPA,Great Lakes Brewery,American IPA,6.5,4.32,115,Etibicoke,Ontario,IPA
20,Don De Dieu,Unibroue,Belgian Strong Pale Ale,9.0,4.13,2868,Chambly,Quebec,other
21,Ransack the Universe - Hemisphere IPA,Collective Arts Brewing,American IPA,6.8,4.19,229,Hamilton,Ontario,IPA
22,Yakima IPA,Microbrasserie Le Castor,American IPA,6.5,4.19,192,Rigaud,Quebec,IPA
23,Great Lakes Karma Citra IPA,Great Lakes Brewery,American IPA,6.6,4.26,115,Etibicoke,Ontario,IPA
24,Singularity,Driftwood Brewery,Russian Imperial Stout,12.2,4.2,162,Victoria,British Columbia,porter/stout
25,St-Ambroise Oatmeal Stout,McAuslan Brewing,Oatmeal Stout,5.0,4.09,1237,Montréal,Quebec,porter/stout
26,Doppelbock Grande Cuvée Printemps,Les Trois Mousquetaires,Doppelbock,8.6,4.16,206,Brossard,Quebec,other
27,Red Racer Imperial IPA,Central City Brewers + Distillers,American Double / Imperial IPA,9.0,4.17,184,Surrey,British Columbia,IPA
28,La Vache Folle - Milk Stout,Microbrasserie Charlevoix,American Double / Imperial Stout,9.0,4.14,255,Baie-Saint-Paul,Quebec,porter/stout
29,Grande Noirceur,Brasserie Dieu du Ciel!,Russian Imperial Stout,9.0,4.11,397,Saint-Jérôme,Quebec,porter/stout
30,Black Oak Ten Bitter Years,Black Oak Brewing Co.,American Double / Imperial IPA,8.0,4.16,184,Etobicoke,Ontario,IPA
31,Herbe à Détourne,Brasserie Dieu du Ciel!,Tripel,10.2,4.12,257,Saint-Jérôme,Quebec,tripel
